Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Waleh Åström A., Heiden M., Mathiassen S.E., Strömberg A.",57201774011;22985509600;7003473142;56289215900;,"Uncertainty in monetary cost estimates for assessing working postures using inclinometry, observation or self-report",2018,Applied Ergonomics,71,,,73,77,,1,10.1016/j.apergo.2018.04.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046100007&doi=10.1016%2fj.apergo.2018.04.005&partnerID=40&md5=339bbcc22e5d6336722f462437f70dcb,Cost components; Exposure assessment; Scenario analysis,Cost estimating; Uncertainty analysis; Cost components; Exposure assessment; Paper mill; Physical workloads; Scenario analysis; Self reports; Uncertainty assessment; Working postures; Cost benefit analysis; article; body position; human; paper industry; self report; software; uncertainty; worker; workload; biomechanics; body position; cost; devices; economics; ergometry; ergonomics; information processing; observation; physiology; procedures; self report; work; Biomechanical Phenomena; Costs and Cost Analysis; Data Collection; Ergometry; Ergonomics; Humans; Observation; Posture; Self Report; Work,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85046100007
"Schellewald V., Kleinert J., Ellegast R.",57193878168;7004136179;22233390100;,Use and physiological responses of portable dynamic office workstations in an occupational setting – A field study,2018,Applied Ergonomics,71,,,57,64,,6,10.1016/j.apergo.2018.04.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045733577&doi=10.1016%2fj.apergo.2018.04.002&partnerID=40&md5=6dfe3dcbbeb14cfb968967c5ddadde1d,Dynamic workstations; Occupational setting; Physiological activation,Activation energy; Heart; Energy expenditure; Field studies; Heart rates; Physiological response; Seated positions; Physiological models; adult; Article; attitude to health; body position; controlled study; energy expenditure; female; field study; health promotion; heart rate; heart rate measurement; human; male; occupation and occupation related phenomena; office worker; physical activity; physiological response; portable dynamic office workstation; sitting; stimulus response; study design; work environment; computer; devices; energy metabolism; equipment design; ergonomics; furniture; physiology; procedures; work; workplace; young adult; Adult; Computers; Energy Metabolism; Equipment Design; Ergonomics; Female; Heart Rate; Humans; Interior Design and Furnishings; Male; Posture; Work; Workplace; Young Adult,Article,Final,,Scopus,2-s2.0-85045733577
"Hernández Aragüés I., Neyra Castañeda A., Fernández Vilariño E., Simal G.",56293486700;57200285734;6508033828;36546938200;,Ergonomics in Dermatology: Good Posture During Physical Examinations [Posturas ergonómicas para la exploración en dermatología],2018,Actas Dermo-Sifiliograficas,109,7,,661,663,,,10.1016/j.ad.2017.10.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040545529&doi=10.1016%2fj.ad.2017.10.015&partnerID=40&md5=50e90b7c909cf9d40e2b1a3cbc1810bf,,Article; body position; dermatology; ergonomics; physical examination; human; occupational health; procedures; Dermatology; Ergonomics; Humans; Occupational Health; Physical Examination; Posture,Article,Final,,Scopus,2-s2.0-85040545529
"Anyfantis I.D., Biska A.",57192833489;55585108200;,Musculoskeletal Disorders Among Greek Physiotherapists: Traditional and Emerging Risk Factors,2018,Safety and Health at Work,9,3,,314,318,,17,10.1016/j.shaw.2017.09.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033213003&doi=10.1016%2fj.shaw.2017.09.003&partnerID=40&md5=168faa673656ca710e4765436301f25a,Musculoskeletal disorders; Occupational health; Physiotherapists; Risk factors,adult; Article; body position; economic aspect; elbow injury; ergonomics; female; finger injury; Greece; hip injury; human; isometric exercise; job satisfaction; knee injury; leg injury; low back pain; major clinical study; male; musculoskeletal injury; neck injury; occupational accident; occupational health; physical education; physiotherapist; physiotherapy; prevalence; private hospital; private practice; public hospital; questionnaire; rehabilitation center; risk factor; shoulder injury; social psychology; toe injury; weight lifting; work environment; work experience; workplace; wrist injury,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85033213003
"Martina V.S., Sergeev S.F.",57203902510;55953906000;,Engineering and Psychological Problems of Multidimensional Interfaces,2018,"Proceedings of the 3rd International Conference Ergo-2018: Human Factors in Complex Technical Systems and Environments, Ergo 2018",,,8443865,94,96,,2,10.1109/ERGO.2018.8443865,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053470055&doi=10.1109%2fERGO.2018.8443865&partnerID=40&md5=d18c2429b1dfbdcc04c5c9660bcd3dda,2d-interfaces; 3D-interfaces; ergonomics; human factor; usability; user interfaces,Ergonomics; Human engineering; 3D interface; Multi-modal interfaces; Physical reality; usability; Visual information; User interfaces,Conference Paper,Final,,Scopus,2-s2.0-85053470055
"Lipovaya V., Duarte F.J.C.M., Volosiuk A.A., Lima F.P.A., Costa P.G.F.",57203530207;36177268800;57203429788;7006451125;57203578415;,The Kitchen Assistants' Activities as a Regulating Factor: Case of a University Restaurant,2018,"Proceedings of the 3rd International Conference Ergo-2018: Human Factors in Complex Technical Systems and Environments, Ergo 2018",,,8443841,241,245,,,10.1109/ERGO.2018.8443841,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053476550&doi=10.1109%2fERGO.2018.8443841&partnerID=40&md5=be5253ba8ff5e76ac2c4b732dd7d84b0,Ergonomic Work Analysis; university restaurant project; work activity,Kitchens; High rate; Physical fatigues; Self confrontations; Systematic analysis; university restaurant project; Work activities; Work analysis; Ergonomics,Conference Paper,Final,,Scopus,2-s2.0-85053476550
"Gligorović B., Desnica E., Palinkaš I.",56548836700;36149993800;57128588800;,The importance of ergonomics in schools - Secondary technical school students' opinion on the comfort of furniture in the classroom for computer aided design,2018,IOP Conference Series: Materials Science and Engineering,393,1,12111,,,,1,10.1088/1757-899X/393/1/012111,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051862469&doi=10.1088%2f1757-899X%2f393%2f1%2f012111&partnerID=40&md5=687dd15d14ebdc4adb7fc527091574f8,,Computer aided design; Computer aided instruction; Computer control; Ergonomics; Product design; Teaching; Learning Activity; Physical state; Psychophysical; School furnitures; School students; Sitting posture; Statistically significant difference; T-test analysis; Students,Conference Paper,Final,"All Open Access, Bronze",Scopus,2-s2.0-85051862469
"Kyriakidis M., Kant V., Amir S., Dang V.N.",55213925100;56285644200;16308972700;24329448500;,Understanding human performance in sociotechnical systems – Steps towards a generic framework,2018,Safety Science,107,,,202,215,,12,10.1016/j.ssci.2017.07.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025169290&doi=10.1016%2fj.ssci.2017.07.008&partnerID=40&md5=fb5cc2a6832c642779f19cec354a726b,Cognitive and behavioural sciences; Cross-sectoral performance shaping factors taxonomy; Human factors & human performance; Railway-performance shaping factors taxonomy; Sociotechnical systems,Cognitive systems; Railroad accidents; Railroad plant and structures; Railroads; Taxonomies; Behavioural science; Complex sociotechnical systems; Fundamental concepts; Human performance; Performance shaping factors; Safety management systems; Sociotechnical systems; Working environment; Behavioral research; accident; Article; behavior; behavioral science; conceptual framework; environment; human; knowledge; occupational safety; operator; performance; performance shaping factor; physical activity; priority journal; psychology; public sector; railway; risk factor; sociotechnical system; taxonomy; technology,Article,Final,,Scopus,2-s2.0-85025169290
"Izobo-Martins O.O., Ayo-Vaughan E.O., Badejo O.O., Ekhaese E.N., Elenwo C., Nwakudu I.",57200100922;56713038000;57204065111;57192418155;57204071128;57204075772;,Safety in construction: Reducing the physical demands on workers in Nigeria,2018,International Journal of Civil Engineering and Technology,9,9,,215,221,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054408533&partnerID=40&md5=5165a1944a6f66a8e89a996b45891358,Construction; Culture; Ergonomics; Physical demands; Policies; Safety,,Article,Final,,Scopus,2-s2.0-85054408533
"Zhu W., Gutierrez M., Toledo M.J., Mullane S., Stella A.P., Diemar R., Buman K.F., Buman M.P.",57220566225;57211370571;57192306042;57073660400;57200081210;57200078201;36240418600;23388260400;,Long-term effects of sit-stand workstations on workplace sitting: A natural experiment,2018,Journal of Science and Medicine in Sport,21,8,,811,816,,13,10.1016/j.jsams.2017.12.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039150456&doi=10.1016%2fj.jsams.2017.12.005&partnerID=40&md5=d4edb457a30ffabb6c6a2bdf76ff2161,Natural experiment; Sit-stand workstations; Workplace sitting,C reactive protein; glucose; high density lipoprotein cholesterol; low density lipoprotein cholesterol; triacylglycerol; insulin; lipid; adult; Article; body position; cardiometabolic risk; clinical effectiveness; comparative study; controlled study; employee; ergonomics; female; glucose blood level; high density lipoprotein cholesterol level; human; low density lipoprotein cholesterol level; male; office worker; physical activity; productivity; protein blood level; sitting; staff; standing; triacylglycerol blood level; university; working time; workplace; blood; blood pressure; body position; controlled clinical trial; exercise; health promotion; middle aged; occupational health; Adult; Blood Glucose; Blood Pressure; Efficiency; Exercise; Female; Health Promotion; Humans; Insulin; Lipids; Male; Middle Aged; Occupational Health; Posture; Workplace,Article,Final,,Scopus,2-s2.0-85039150456
"Rasmussen C.D.N., Hendriksen P.R., Svendsen M.J., Ekner D., Hansen K., Sørensen O.H., Svendsen S.W., van der Beek A.J., Holtermann A.",36703136600;57193875870;57203153415;6508111105;55861055100;22935948600;6603789291;7006945011;6507009913;,Improving work for the body - a participatory ergonomic intervention aiming at reducing physical exertion and musculoskeletal pain among childcare workers (the TOY-project): Study protocol for a wait-list cluster-randomized controlled trial,2018,Trials,19,1,411,,,,3,10.1186/s13063-018-2788-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050717714&doi=10.1186%2fs13063-018-2788-z&partnerID=40&md5=a16af205a02d333091413c449e6a1397,Musculoskeletal disorders; Participatory ergonomics; Workplace intervention,"absenteeism; Article; child; child care; childcare worker; cluster analysis; controlled study; economic evaluation; employee attitude; ergonomics; exercise; health care personnel; health care quality; heart rate; human; musculoskeletal pain; participatory ergonomics; physical activity; randomized controlled trial; risk assessment; risk factor; self concept; self report; workload; Denmark; ergonomics; female; infant; male; medical leave; multicenter study (topic); musculoskeletal pain; newborn; occupation; occupational disease; pain measurement; pathophysiology; preschool child; procedures; protection; randomized controlled trial (topic); time factor; work; workplace; Absenteeism; Child Care; Child, Preschool; Denmark; Ergonomics; Female; Humans; Infant; Infant, Newborn; Job Description; Male; Multicenter Studies as Topic; Musculoskeletal Pain; Occupational Diseases; Occupations; Pain Measurement; Physical Exertion; Protective Factors; Randomized Controlled Trials as Topic; Risk Factors; Sick Leave; Time Factors; Workplace",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85050717714
"Whittington P., Dogan H.",56736147300;35572931500;,Human Factors in Transportation Cyber-Physical Systems: A Case Study of a Smart Automated Transport and Retrieval System (SmartATRS). A Case Study of a Smart Automated Transport and Retrieval System (SmartATRS).,2018,Transportation Cyber-Physical Systems,,,,201,226,,,10.1016/B978-0-12-814295-0.00008-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082292453&doi=10.1016%2fB978-0-12-814295-0.00008-3&partnerID=40&md5=0f33a04fb9ab9430d8758efcb54247a3,Automated Transport and Retrieval System; Cyber-physical systems; Hierarchical Task Analysis; Human Factors; Multimodality; NASA Task Load Index; SmartATRS; System architecture; System Usability Scale; Transportation; Usability evaluation,,Book Chapter,Final,,Scopus,2-s2.0-85082292453
Majumdar D.,11939561000;,Performance Enhancement Through Physical Activity at High Altitudes,2018,Management of High Altitude Pathophysiology,,,,279,306,,1,10.1016/B978-0-12-813999-8.00014-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081657239&doi=10.1016%2fB978-0-12-813999-8.00014-8&partnerID=40&md5=d37ab8cc755a7631982521eadce69244,Ergonomics; High-altitude maladies; Performance enhancement; Physical activity,,Book Chapter,Final,,Scopus,2-s2.0-85081657239
"Lad U., Oomen N.M.C.W., Callaghan J.P., Fischer S.L.",57201022335;56733044600;7101794557;26648381500;,Comparing the biomechanical and psychophysical demands imposed on paramedics when using manual and powered stretchers,2018,Applied Ergonomics,70,,,167,174,,11,10.1016/j.apergo.2018.03.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042924473&doi=10.1016%2fj.apergo.2018.03.001&partnerID=40&md5=4ec7b163355c61e646a36e57d375435d,Equipment; Lifting; Occupational biomechanics; Paramedics; Physical ergonomics,"Biomechanics; Equipment, devices and apparatus; Ergonomics; Unloading; Compression and shear; Lifting; Loading and unloading; Musculoskeletal disorders; Occupational biomechanics; Paramedics; Physical ergonomics; Ratings of perceived exertions (RPE); Stretchers; adult; Article; biomechanics; comparative study; compression; controlled study; ergonomics; female; fifth lumbar vertebra; flexor muscle; fourth lumbar vertebra; functional status; human; human experiment; male; muscle strength; paramedical personnel; shear stress; shoulder muscle; task performance; weight bearing; biomechanics; body position; building; exercise; health personnel attitude; lumbar vertebra; middle aged; occupational health; physiology; psychophysics; shoulder; stretcher; time factor; videorecording; Adult; Allied Health Personnel; Attitude of Health Personnel; Biomechanical Phenomena; Female; Humans; Lifting; Lumbar Vertebrae; Male; Middle Aged; Occupational Health; Physical Exertion; Posture; Psychophysics; Shoulder; Stretchers; Task Performance and Analysis; Time Factors; Video Recording",Article,Final,,Scopus,2-s2.0-85042924473
"Masriadi, Arif F.",57193857446;57203538753;,"Effectiveness of ergonomic gymnastics on decreasing blood pressure in patients with stage one hypertension, indonesia",2018,Indian Journal of Forensic Medicine and Toxicology,12,3,,280,285,,4,10.5958/0973-9130.2018.00173.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052067755&doi=10.5958%2f0973-9130.2018.00173.1&partnerID=40&md5=a096af969d6e8e170a7e948868daa578,Blood pressure; Ergonomic; Gymnastics; Hypertension; Physical activities,Article; blood pressure regulation; clinical article; clinical effectiveness; controlled study; diastolic blood pressure; ergonomics; human; hypertension; Indonesia; outcome assessment; physical education; quasi experimental study; systolic blood pressure,Article,Final,,Scopus,2-s2.0-85052067755
"Kim S., Nussbaum M.A., Mokhlespour Esfahani M.I., Alemi M.M., Alabdulkarim S., Rashedi E.",55718638500;7102451255;55995297200;56529293700;57190953078;55576306200;,"Assessing the influence of a passive, upper extremity exoskeletal vest for tasks requiring arm elevation: Part I – “Expected” effects on discomfort, shoulder muscle activity, and work task performance",2018,Applied Ergonomics,70,,,315,322,,50,10.1016/j.apergo.2018.02.025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042929784&doi=10.1016%2fj.apergo.2018.02.025&partnerID=40&md5=b9a28f51824fe6f50221e8ed6457d503,Exoskeleton; Intervention; Overhead work,Ergonomics; Exoskeleton (Robotics); Intervention; Laboratory studies; Muscle activities; Overhead work; Physical demand; Task completion time; Task performance; Upper extremity; Muscle; adult; arm movement; Article; body equilibrium; controlled study; exoskeletal vest; female; human; male; muscle contraction; muscle fatigue; physical activity; range of motion; shoulder muscle; simulation; task performance; back muscle; deltoid muscle; electromyography; exercise; exoskeleton (rehabilitation); musculoskeletal pain; occupational health; physiology; time factor; upper limb; young adult; Adult; Deltoid Muscle; Electromyography; Exoskeleton Device; Female; Humans; Male; Musculoskeletal Pain; Occupational Health; Physical Exertion; Superficial Back Muscles; Task Performance and Analysis; Time Factors; Upper Extremity; Young Adult,Article,Final,,Scopus,2-s2.0-85042929784
"Aydin Y., Tokatli O., Patoglu V., Basdogan C.",56084865200;36667722400;19640643500;6603706568;,Stable Physical Human-Robot Interaction Using Fractional Order Admittance Control,2018,IEEE Transactions on Haptics,11,3,8305534,464,475,,21,10.1109/TOH.2018.2810871,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042845887&doi=10.1109%2fTOH.2018.2810871&partnerID=40&md5=e2a4dd1ba43b572e9522a8057e097d00,contact interactions; effective impedance; fractional order admittance control; impedance matching; needle insertion; Physical human-robot interaction (pHRI); robustness; stability,Control system stability; Controllers; Convergence of numerical methods; Ergonomics; Impedance matching (electric); Man machine systems; Robustness (control systems); Stability; Admittance control; Contact interaction; Effective impedance; Needle insertion; Physical humanrobot interaction (phri); Human robot interaction,Article,Final,,Scopus,2-s2.0-85042845887
"Latimer C.S., Schleit J., Reynolds A., Marshall D.A., Podemski B., Wang L.H., Gonzalez-Cuyar L.F.",54398847100;36053659800;57191758469;56392408800;57202112555;55502108300;14219124800;,Neutral lipid storage disease with myopathy: Further phenotypic characterization of a rare PNPLA2 variant,2018,Neuromuscular Disorders,28,7,,606,609,,4,10.1016/j.nmd.2018.04.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047185783&doi=10.1016%2fj.nmd.2018.04.010&partnerID=40&md5=9a1cb3b1976321bd6037947132fc41dd,Muscle biopsy; Myopathy; Neutral lipid storage disease; PNPLA2 mutation,"adenosine triphosphatase; C reactive protein; creatine kinase; glycogen; La antibody; methylene blue; myeloblastin; neutrophil cytoplasmic antibody; phosphorylase; reduced nicotinamide adenine dinucleotide; Ro antibody; PNPLA2 protein, human; triacylglycerol lipase; adult; Article; asthma; carpal tunnel syndrome; case report; clinical article; creatine kinase blood level; deltoid muscle; depression; DNA extraction; eczema; electromyography; ergonomics; female; gene mutation; genetic variability; histochemistry; histology; human; infraspinatus muscle; limb weakness; lipidosis; muscle atrophy; muscle biopsy; myopathy; nerve conduction; neurologic examination; neutral lipid storage disease with myopathy; nuclear magnetic resonance imaging; perception deafness; physical examination; PNPLA2 gene; polymerase chain reaction; priority journal; Sanger sequencing; supraspinatus muscle; teres minor muscle; disorders of lipid and lipoprotein metabolism; genetics; muscle disease; pathology; pedigree; phenotype; skeletal muscle; Adult; Female; Humans; Lipase; Lipid Metabolism, Inborn Errors; Muscle, Skeletal; Muscular Diseases; Pedigree; Phenotype",Article,Final,,Scopus,2-s2.0-85047185783
"Dobres J., Wolfe B., Chahine N., Reimer B.",36628055900;35331179500;55511610300;7003475727;,"The effects of visual crowding, text size, and positional uncertainty on text legibility at a glance",2018,Applied Ergonomics,70,,,240,246,,9,10.1016/j.apergo.2018.03.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043989502&doi=10.1016%2fj.apergo.2018.03.007&partnerID=40&md5=076c7cc501124d3accbb349f04841d66,Legibility; Typography; Visual crowding,Physical therapy; Graphic designers; Interface designs; Legibility; Lexical decision tasks; Mobile interaction; Random positioning; Typography; Visual crowding; Ergonomics; adult; aged; Article; cognition; controlled study; crowding (vision); decision making; descriptive research; female; human; human experiment; informed consent; male; measurement accuracy; positional uncertainty; task performance; text legibility; text size; visual acuity; visual stimulation; computer interface; information processing; middle aged; randomization; reaction time; reading; time factor; uncertainty; vision; Adult; Aged; Data Display; Female; Humans; Male; Middle Aged; Random Allocation; Reaction Time; Reading; Task Performance and Analysis; Time Factors; Uncertainty; User-Computer Interface; Visual Perception,Article,Final,,Scopus,2-s2.0-85043989502
"Larsen A.S., Larsen F.G., Sørensen F.F., Hedegaard M., Støttrup N., Hansen E.A., Madeleine P.",57220584935;57191362388;57201133982;57201134240;57191366143;7402447891;6701448643;,The effect of saddle nose width and cutout on saddle pressure distribution and perceived discomfort in women during ergometer cycling,2018,Applied Ergonomics,70,,,175,181,,5,10.1016/j.apergo.2018.03.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043523694&doi=10.1016%2fj.apergo.2018.03.002&partnerID=40&md5=a2971d54c906dca40175ac4da9198ee6,Bicycling; Discomfort; Gender; Saddle design; Variability,"Ergonomics; Physical therapy; Bicycling; Discomfort; Gender; Interface pressure; Ischial tuberosity; Posterior means; Variability; Visual analogue scale; Pressure distribution; adult; Article; cycling; cyclist; equipment design; female; human; ischial tuberosity; nociception; normal human; pelvic pain; pressure; saddle; visual analog scale; young adult; anatomy and histology; buttock; cycling; devices; equipment design; ergometry; ergonomics; injuries; ischium; pain; perineum; pressure; pressure transducer; Adult; Bicycling; Buttocks; Equipment Design; Ergometry; Ergonomics; Female; Humans; Ischium; Pain; Perineum; Pressure; Transducers, Pressure; Young Adult",Article,Final,,Scopus,2-s2.0-85043523694
"Kim S., Nussbaum M.A., Mokhlespour Esfahani M.I., Alemi M.M., Jia B., Rashedi E.",55718638500;7102451255;55995297200;56529293700;25649420500;55576306200;,"Assessing the influence of a passive, upper extremity exoskeletal vest for tasks requiring arm elevation: Part II – “Unexpected” effects on shoulder motion, balance, and spine loading",2018,Applied Ergonomics,70,,,323,330,,42,10.1016/j.apergo.2018.02.024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042945696&doi=10.1016%2fj.apergo.2018.02.024&partnerID=40&md5=63b9a00d06535170ed5b022a4af6cda9,Exoskeleton; Intervention; Overhead work,"Ergonomics; Physical therapy; Center of pressure; Intervention; New technologies; Overhead work; Postural control; Range of motions; Safety and healths; Shoulder abductions; Exoskeleton (Robotics); abduction; adult; arm movement; Article; body equilibrium; body position; controlled study; falling; female; human; human experiment; joint function; male; musculoskeletal system parameters; occupational health; occupational safety; pressure; range of motion; shoulder; simulation; slip and trip risk; spine; spine loading; task performance; velocity; walking; adolescent; body equilibrium; electromyography; exoskeleton (rehabilitation); joint characteristics and functions; lumbar vertebra; lumbosacral region; occupational health; physiology; sacrum; skeletal muscle; task performance; weight bearing; young adult; Accidental Falls; Adolescent; Adult; Electromyography; Exoskeleton Device; Female; Humans; Lumbar Vertebrae; Lumbosacral Region; Male; Muscle, Skeletal; Occupational Health; Postural Balance; Range of Motion, Articular; Sacrum; Shoulder Joint; Task Performance and Analysis; Weight-Bearing; Young Adult",Article,Final,,Scopus,2-s2.0-85042945696
"Huysamen K., Bosch T., de Looze M., Stadler K.S., Graf E., O'Sullivan L.W.",57197759979;16400630400;56246152600;57200311283;44061398300;57202352590;,Evaluation of a passive exoskeleton for static upper limb activities,2018,Applied Ergonomics,70,,,148,155,,44,10.1016/j.apergo.2018.02.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042929821&doi=10.1016%2fj.apergo.2018.02.009&partnerID=40&md5=c63bf5b1c1e6bf9cf13ec43bc1a6cf00,,"Muscle; Biceps brachii; Contact areas; Leg muscles; Low pressures; Lower body; Muscle activities; Upper bodies; Upper limbs; Exoskeleton (Robotics); adult; article; biceps brachii muscle; clinical article; deltoid muscle; exoskeleton; female; human; human experiment; hypobarism; leg muscle; male; muscle function; trunk; arm; electromyography; ergonomics; exercise; exoskeleton (rehabilitation); lower limb; middle aged; perception; physiology; pressure; skeletal muscle; Adult; Arm; Deltoid Muscle; Electromyography; Ergonomics; Exoskeleton Device; Female; Humans; Lower Extremity; Male; Middle Aged; Muscle, Skeletal; Perception; Physical Exertion; Pressure",Article,Final,,Scopus,2-s2.0-85042929821
"Jakobsen M.D., Sundstrup E., Brandt M., Persson R., Andersen L.L.",39361601600;35801416800;56024988900;7006516963;26634786600;,Estimation of physical workload of the low-back based on exposure variation analysis during a full working day among male blue-collar workers. Cross-sectional workplace study,2018,Applied Ergonomics,70,,,127,133,,3,10.1016/j.apergo.2018.02.019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042711649&doi=10.1016%2fj.apergo.2018.02.019&partnerID=40&md5=2a85c58aed68539bd14b7fee5075143e,Borg; EMG; Low-back pain; Manual handling; Musculoskeletal disorders; Occupational lifting; Physical exertion; Self-report,Diseases; Electromyography; Musculoskeletal system; Warehouses; Borg; Low back pain; Manual handling; Musculoskeletal disorders; Occupational lifting; Physical exertion; Self reports; Medical problems; adult; Article; blue collar worker; chi square test; clinical practice; controlled study; cross-sectional study; Denmark; electromyography; ergonomics; human; human experiment; low back pain; male; maximal voluntary ventilation; muscle contraction; muscle isometric contraction; normal human; occupational exposure; practice guideline; risk assessment; risk factor; self report; work environment; workload; workplace; accelerometry; body position; building; exercise; lumbosacral region; occupational health; paraspinal muscle; physiology; postal mail; slaughterhouse; task performance; workload; workplace; Abattoirs; Accelerometry; Cross-Sectional Studies; Electromyography; Guidelines as Topic; Humans; Lifting; Lumbosacral Region; Male; Occupational Exposure; Occupational Health; Paraspinal Muscles; Physical Exertion; Postal Service; Posture; Task Performance and Analysis; Workload; Workplace,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85042711649
"Cudlip A.C., Dickerson C.R.",55836490800;57201399404;,Female maximal push/pull strength capabilities by humeral abduction angle in bilateral exertions,2018,Applied Ergonomics,70,,,136,141,,3,10.1016/j.apergo.2018.02.023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042698511&doi=10.1016%2fj.apergo.2018.02.023&partnerID=40&md5=6db114b9cf5da485ac51dccc9b72d975,Ergonomics; Maximal strength; Shoulder biomechanics; Work design,Job analysis; Materials handling; Abduction angle; Force capabilities; Manual materials handling; Maximal strength; Shoulder biomechanics; Strength capability; Upper extremity; Work design; Ergonomics; abduction; adult; anthropometry; Article; body height; controlled study; female; human; human experiment; humeral abduction angle; humerus; informed consent; kinematics; limit of quantitation; muscle strength; musculoskeletal system parameters; population research; pull strength; push strength; risk factor; arm; biomechanics; body position; elbow; exercise; humerus; movement (physiology); physiology; shoulder; young adult; Adult; Arm; Biomechanical Phenomena; Elbow Joint; Female; Humans; Humerus; Movement; Muscle Strength; Physical Exertion; Posture; Shoulder Joint; Young Adult,Article,Final,,Scopus,2-s2.0-85042698511
"Chander H., Knight A.C., Garner J.C., Wade C., Carruth D.W., DeBusk H., Hill C.M.",55515739900;51763594100;12782476500;14027646800;6506142566;57196027485;57196119384;,Impact of military type footwear and workload on heel contact dynamics during slip events,2018,International Journal of Industrial Ergonomics,66,,,18,25,,10,10.1016/j.ergon.2018.02.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042324008&doi=10.1016%2fj.ergon.2018.02.008&partnerID=40&md5=fafe4aaa06f5eae02eb25a04a5bc61cd,Military boots; Military workload; Slip outcomes; Unexpected and expected slips,"Biomedical engineering; Ergonomics; Contact dynamics; Military boots; Military workload; Occupational injury; Repeated measures; Slip outcomes; Slips , trips and falls; Unexpected and expected slips; Occupational risks; adult; army; Article; comparative study; dynamics; equipment design; falling; gait; human; kinematics; male; normal human; outcome assessment; physical performance; priority journal; simulation; velocity; weight bearing; workload",Article,Final,,Scopus,2-s2.0-85042324008
"Tammana A., McKay C., Cain S.M., Davidson S.P., Vitali R.V., Ojeda L., Stirling L., Perkins N.C.",57200727714;57200721226;23487786400;56583512300;56583930000;6701733551;15064643700;7103031956;,Load-embedded inertial measurement unit reveals lifting performance,2018,Applied Ergonomics,70,,,68,76,,6,10.1016/j.apergo.2018.01.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042262313&doi=10.1016%2fj.apergo.2018.01.014&partnerID=40&md5=89b1d7f1555c9c5ee60e99fcb8e3cf64,Biomechanics; Inertial sensors; Manual load lifting; Performance,"Ergonomics; Physical therapy; Activities of Daily Living; Experimental methods; Inertial measurement unit; Inertial sensor; Manual load lifting; New Measurement Method; Performance; Qualitative differences; Biomechanics; acceleration; adult; Article; biomechanics; controlled study; female; human; human experiment; inertial measurement unit; lifting effort; male; motion; normal human; quantitative analysis; task performance; velocity; young adult; accelerometry; biological model; building; devices; time factor; Acceleration; Accelerometry; Biomechanical Phenomena; Female; Humans; Lifting; Male; Models, Biological; Task Performance and Analysis; Time Factors; Young Adult",Article,Final,,Scopus,2-s2.0-85042262313
